Repo link,Type,Slug,Repo URL,Title,Description,Stars,Watchers,Clones,Open issues,Views,Uniques
https://github.com/frictionlessdata/ckan-datapackage-tools,Repo,ckan-datapackage-tools,,Ckan datapackage tools,A library of useful tools to work with Data Packages in CKAN.,4,4,0,4,26,4
https://github.com/frictionlessdata/ckanext-datapackager,Repo,ckanext-datapackager,,Ckanext datapackager,CKAN extension for importing and exporting Data Packages,30,30,0,15,58,22
https://github.com/frictionlessdata/ckanext-validation,Repo,ckanext-validation,,Ckanext validation,Data validation and description with Frictionless Data tools.,17,17,16,21,64,31
https://github.com/frictionlessdata/ckanext-wprdcpilot,Repo,ckanext-wprdcpilot,,Ckanext wprdcpilot,Small utils extension for the WPRDC pilot,0,0,0,0,1,1
https://github.com/frictionlessdata/data-quality-cli,Repo,data-quality-cli,https://github.com/okfn/data-quality-dashboard,Data quality cli,CLI for creating databases for Data Quality Dashboards.,14,14,0,3,20,11
https://github.com/frictionlessdata/data-quality-dashboard,Repo,data-quality-dashboard,,Data quality dashboard,Data Quality Dashboards display statistics on a collection of published data.,27,27,2,10,37,25
https://github.com/frictionlessdata/data-quality-databases,Repo,data-quality-databases,,Data quality databases,This repo contains databases created with https://github.com/frictionlessdata/data-quality-cli.,2,2,0,0,0,0
https://github.com/frictionlessdata/data-quality-spec,Repo,data-quality-spec,,Data quality spec,A spec for reporting errors in data quality.,15,15,0,2,16,5
https://github.com/frictionlessdata/dataflows-aws,Repo,dataflows-aws,,Dataflows aws,AWS integration for dataflows,1,1,0,0,1,1
https://github.com/frictionlessdata/datapackage-clj,Repo,datapackage-clj,,Datapackage clj,A Clojure library for working with Data Package.,7,7,0,3,6,3
https://github.com/frictionlessdata/datapackage-go,Repo,datapackage-go,,Datapackage go,A Go library for working with Data Package.,16,16,34,5,39,10
https://github.com/frictionlessdata/datapackage-java,Repo,datapackage-java,,Datapackage java,A Java library for working with Data Package.,13,13,27,9,43,13
